Company,Supersector,Country,Weight (%)
RECORDATI,Health Care,IT,0.06
JOHNSON MATTHEY,Chemicals,GB,0.06
PKO BANK,Banks,PL,0.06
PANDORA,Personal & Household Goods,DK,0.06
NEXI SPA,Industrial Goods & Services,IT,0.06
EVONIK INDUSTRIES,Chemicals,DE,0.06
KNORR BREMSE,Industrial Goods & Services,DE,0.06
MEDIOBANCA,Banks,IT,0.06
IMCD,Chemicals,NL,0.06
RENAULT,Automobiles & Parts,FR,0.06
DIASORIN,Health Care,IT,0.06
PSP SWISS PROPERTY,Real Estate,CH,0.05
OMV,Oil & Gas,AT,0.05
RUBIS,Utilities,FR,0.05
CLARIANT,Chemicals,CH,0.05
CASTELLUM,Real Estate,SE,0.05
GEA GRP,Industrial Goods & Services,DE,0.05
VAT GROUP AG,Industrial Goods & Services,CH,0.05
SCHRODERS,Financial Services,GB,0.05
DIRECT LINE INSURANCE GROUP,Insurance,GB,0.05
KLEPIERRE,Real Estate,FR,0.05
AMUNDI,Financial Services,FR,0.05
BECHTLE,Technology,DE,0.05
EDF,Utilities,FR,0.05
INTERMEDIATE CAPITAL GRP,Financial Services,GB,0.05
LUNDIN ENERGY,Oil & Gas,SE,0.05
SUEZ ENVIRONNEMENT,Utilities,FR,0.05
HOMESERVE,Retail,GB,0.05
SCOR,Insurance,FR,0.05
AMS AG,Technology,CH,0.05
KESKO,Retail,FI,0.05
BRITISH LAND COMPANY,Real Estate,GB,0.05
HIKMA PHARMACEUTICALS,Health Care,GB,0.05
HOWDEN JOINERY GRP,Retail,GB,0.05
ANTOFAGASTA,Basic Resources,GB,0.05
UNITED INTERNET,Technology,DE,0.05
SWEDISH ORPHAN BIOVITRUM,Health Care,SE,0.05
JERONIMO MARTINS,Retail,PT,0.05
METSO,Industrial Goods & Services,FI,0.05
SIMCORP,Technology,DK,0.05
POSTE ITALIANE,Insurance,IT,0.05
SAINSBURY (J),Retail,GB,0.05
COMMERZBANK,Banks,DE,0.05
TELECOM ITALIA,Telecommunications,IT,0.05
PZU GROUP,Insurance,PL,0.05
LANXESS,Chemicals,DE,0.05
ICA GRUPPEN,Retail,SE,0.05
LA FRANCAISE DES JEUX,Travel & Leisure,FR,0.05
SECURITAS B,Industrial Goods & Services,SE,0.05
ASR NEDERLAND NV,Insurance,NL,0.05
DAVIDE CAMPARI,Food & Beverage,IT,0.05
SOFINA,Financial Services,BE,0.05
WARTSILA,Industrial Goods & Services,FI,0.05
GETINGE B,Health Care,SE,0.05
AVAST PLC,Technology,GB,0.05
ABN AMRO BANK,Banks,NL,0.05
B&M EUROPEAN VALUE RETAIL,Retail,GB,0.05
BELLWAY,Personal & Household Goods,GB,0.05
COVIVIO,Real Estate,FR,0.05
TATE & LYLE,Food & Beverage,GB,0.05
KOJAMO OYJ,Real Estate,FI,0.05
TOMRA SYSTEMS,Industrial Goods & Services,NO,0.04
TEAMVIEWER AG,Technology,DE,0.04
INDUSTRIVARDEN A,Financial Services,SE,0.04
MORPHOSYS,Health Care,DE,0.04
FASTIGHETS BALDER B,Real Estate,SE,0.04
KION GROUP,Industrial Goods & Services,DE,0.04
SPECTRIS,Industrial Goods & Services,GB,0.04
DERWENT LONDON,Real Estate,GB,0.04
NEMETSCHEK,Technology,DE,0.04
ELECTROLUX B,Personal & Household Goods,SE,0.04
HUHTAMAKI,Industrial Goods & Services,FI,0.04
NORSK HYDRO,Basic Resources,NO,0.04
SEB,Personal & Household Goods,FR,0.04
RHEINMETALL,Industrial Goods & Services,DE,0.04
CARL ZEISS MEDITEC,Health Care,DE,0.04
IG GRP HLDG,Financial Services,GB,0.04
ELECTROCOMPONENTS,Industrial Goods & Services,GB,0.04
VOPAK,Industrial Goods & Services,NL,0.04
ROYAL UNIBREW,Food & Beverage,DK,0.04
CONVATEC PLC,Health Care,GB,0.04
TAG IMMOBILIEN AG,Real Estate,DE,0.04
BELIMO HOLDING,Construction & Materials,CH,0.04
TECAN,Health Care,CH,0.04
GALENICA SANTE AG,Retail,CH,0.04
TRAVIS PERKINS,Industrial Goods & Services,GB,0.04
WDP,Real Estate,BE,0.04
FABEGE,Real Estate,SE,0.04
